Gradient Boost (GB)
BEST PARAMS: {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500}

Gradient Boost (GB) 0.629 (+/-0.006) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5}
Gradient Boost (GB) 0.892 (+/-0.092) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50}
Gradient Boost (GB) 0.936 (+/-0.049) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 250}
Gradient Boost (GB) 0.96 (+/-0.036) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 500}
Gradient Boost (GB) 0.629 (+/-0.006) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5}
Gradient Boost (GB) 0.947 (+/-0.047) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}
Gradient Boost (GB) 0.949 (+/-0.043) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 250}
Gradient Boost (GB) 0.949 (+/-0.036) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}
Gradient Boost (GB) 0.629 (+/-0.006) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5}
Gradient Boost (GB) 0.952 (+/-0.043) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}
Gradient Boost (GB) 0.941 (+/-0.027) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250}
Gradient Boost (GB) 0.934 (+/-0.028) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}
Gradient Boost (GB) 0.629 (+/-0.006) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 5}
Gradient Boost (GB) 0.93 (+/-0.04) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}
Gradient Boost (GB) 0.927 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 250}
Gradient Boost (GB) 0.925 (+/-0.025) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500}
Gradient Boost (GB) 0.629 (+/-0.006) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 5}
Gradient Boost (GB) 0.934 (+/-0.024) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 50}
Gradient Boost (GB) 0.925 (+/-0.025) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 250}
Gradient Boost (GB) 0.927 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}
Gradient Boost (GB) 0.895 (+/-0.099) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 5}
Gradient Boost (GB) 0.958 (+/-0.038) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50}
Gradient Boost (GB) 0.965 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 250}
Gradient Boost (GB) 0.976 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500}
Gradient Boost (GB) 0.945 (+/-0.042) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 5}
Gradient Boost (GB) 0.954 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}
Gradient Boost (GB) 0.958 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 250}
Gradient Boost (GB) 0.958 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}
Gradient Boost (GB) 0.949 (+/-0.041) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 5}
Gradient Boost (GB) 0.938 (+/-0.018) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}
Gradient Boost (GB) 0.941 (+/-0.03) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 250}
Gradient Boost (GB) 0.938 (+/-0.023) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}
Gradient Boost (GB) 0.934 (+/-0.028) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 5}
Gradient Boost (GB) 0.925 (+/-0.026) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}
Gradient Boost (GB) 0.932 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 250}
Gradient Boost (GB) 0.927 (+/-0.023) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}
Gradient Boost (GB) 0.921 (+/-0.037) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 5}
Gradient Boost (GB) 0.93 (+/-0.017) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 50}
Gradient Boost (GB) 0.925 (+/-0.021) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 250}
Gradient Boost (GB) 0.934 (+/-0.014) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}
Gradient Boost (GB) 0.934 (+/-0.056) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 5}
Gradient Boost (GB) 0.971 (+/-0.046) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 50}
Gradient Boost (GB) 0.969 (+/-0.038) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 250}
Gradient Boost (GB) 0.969 (+/-0.038) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 500}
Gradient Boost (GB) 0.919 (+/-0.044) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 5}
Gradient Boost (GB) 0.947 (+/-0.043) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 50}
Gradient Boost (GB) 0.945 (+/-0.037) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 250}
Gradient Boost (GB) 0.947 (+/-0.043) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}
Gradient Boost (GB) 0.93 (+/-0.041) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 5}
Gradient Boost (GB) 0.949 (+/-0.022) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}
Gradient Boost (GB) 0.956 (+/-0.032) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 250}
Gradient Boost (GB) 0.952 (+/-0.036) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 500}
Gradient Boost (GB) 0.927 (+/-0.029) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 5}
Gradient Boost (GB) 0.938 (+/-0.033) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 50}
Gradient Boost (GB) 0.938 (+/-0.035) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 250}
Gradient Boost (GB) 0.936 (+/-0.009) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 500}
Gradient Boost (GB) 0.921 (+/-0.016) for {'learning_rate': 1, 'max_depth': 9, 'n_estimators': 5}
Gradient Boost (GB) 0.932 (+/-0.025) for {'learning_rate': 1, 'max_depth': 9, 'n_estimators': 50}
Gradient Boost (GB) 0.934 (+/-0.013) for {'learning_rate': 1, 'max_depth': 9, 'n_estimators': 250}
Gradient Boost (GB) 0.932 (+/-0.037) for {'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}
