eXtreme Gradient Boost (XGB)
BEST PARAMS: {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500}

eXtreme Gradient Boost (XGB) 0.888 (+/-0.047) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.914 (+/-0.065) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.936 (+/-0.04) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.96 (+/-0.041) for {'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.93 (+/-0.043) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.936 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.958 (+/-0.029) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.969 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.941 (+/-0.045) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.934 (+/-0.019) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.958 (+/-0.026) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.029) for {'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.941 (+/-0.045) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.936 (+/-0.021) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.956 (+/-0.024) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.029) for {'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.941 (+/-0.045) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.936 (+/-0.021) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.956 (+/-0.024) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.029) for {'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.934 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.956 (+/-0.04) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.03) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.976 (+/-0.026) for {'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.932 (+/-0.025) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.969 (+/-0.026) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.967 (+/-0.028) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.938 (+/-0.017) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.03) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.938 (+/-0.017) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.03) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.938 (+/-0.017) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.03) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.965 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.956 (+/-0.04) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.971 (+/-0.046) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.974 (+/-0.048) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.974 (+/-0.048) for {'learning_rate': 1, 'max_depth': 1, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.952 (+/-0.036) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.958 (+/-0.033) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.958 (+/-0.033) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.958 (+/-0.033) for {'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.96 (+/-0.027) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.018) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.018) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 250}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.018) for {'learning_rate': 1, 'max_depth': 5, 'n_estimators': 500}
eXtreme Gradient Boost (XGB) 0.96 (+/-0.027) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 5}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.018) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 50}
eXtreme Gradient Boost (XGB) 0.963 (+/-0.018) for {'learning_rate': 1, 'max_depth': 7, 'n_estimators': 250}
